,WHITE,ALCHY,JUNKY,SUPER,MARRIED,FELON,WORKREL,PROPTY,PERSON,MALE,PRIORS,SCHOOL,RULE,AGE,TSERVD,FOLLOW,RECID,TIME,FILE
222,1,0,0,0,1,0,0,0,0,1,10,12,0,455,5,73,0,0,3
226,1,1,0,1,1,0,1,0,0,1,1,12,0,455,6,75,0,0,1
228,1,1,0,0,0,0,1,1,0,1,0,5,0,366,9,73,0,0,2
229,1,0,0,0,0,0,1,0,0,1,1,11,0,342,5,79,1,14,1
230,0,0,0,0,0,0,0,0,0,1,3,1,3,450,12,80,0,0,3
233,0,0,0,1,1,0,1,1,0,1,3,12,1,344,59,71,1,31,2
234,0,0,0,1,0,0,0,0,0,1,0,12,0,333,9,73,0,0,2
235,1,0,0,1,0,0,1,0,0,1,0,12,1,372,5,80,1,17,3
238,1,0,1,0,1,0,1,0,0,1,5,9,0,330,8,78,1,5,2
239,0,0,0,1,1,1,1,1,0,1,8,11,3,377,20,79,1,46,1
241,0,0,0,1,0,1,0,1,0,1,2,12,1,376,34,76,1,29,2
251,1,0,0,1,1,1,1,0,0,1,0,19,0,441,9,75,0,0,2
255,1,0,0,1,0,0,1,0,0,1,1,10,0,342,7,73,0,0,3
265,0,1,0,1,1,0,0,0,0,1,1,8,0,409,4,74,1,25,2
267,1,0,0,1,0,0,1,0,0,1,0,16,0,407,12,74,0,0,3
270,1,0,0,1,0,0,0,1,0,0,0,10,0,411,7,76,0,0,3
271,1,0,0,1,1,1,1,0,1,1,5,8,7,418,138,70,1,20,3
275,1,0,0,1,0,0,0,0,0,1,1,8,0,352,8,71,1,3,3
278,1,0,0,1,0,0,0,0,0,1,2,6,0,339,1,70,0,0,3
281,1,0,0,0,0,0,0,0,0,1,2,9,2,425,6,70,1,2,3
284,1,0,0,0,0,0,1,0,0,1,2,9,2,438,12,79,0,0,1
285,1,0,0,1,1,1,1,1,0,1,1,12,2,323,28,71,0,0,2
287,0,0,1,1,0,1,1,1,0,1,4,11,1,322,20,78,1,42,2
288,0,1,1,1,0,0,0,0,0,1,-9,9,9,350,19,74,1,4,3
292,1,0,1,1,0,0,1,1,0,1,0,16,0,333,7,79,0,0,2
293,1,0,0,0,0,0,1,0,0,1,0,12,1,451,9,71,0,0,2
299,0,0,0,0,1,0,1,0,0,1,1,8,0,420,3,72,1,35,3
303,1,1,0,0,0,0,1,0,0,1,9,5,0,373,5,73,0,0,1
305,0,0,0,1,0,0,0,0,0,1,0,8,0,463,0,75,0,0,3
306,0,0,0,1,0,1,1,1,0,1,2,12,2,337,63,70,1,17,2
308,1,1,0,1,0,0,1,0,0,1,0,10,0,370,6,73,0,0,2
310,0,0,0,0,1,1,1,1,0,1,8,11,3,373,51,74,1,21,3
318,1,0,0,1,1,0,1,0,0,1,0,11,1,325,19,74,0,0,2
324,0,0,0,0,1,0,1,0,0,1,0,12,1,348,6,81,1,25,3
330,0,0,1,1,1,0,1,0,0,1,1,9,0,454,5,81,0,0,1
333,0,0,0,1,0,1,1,1,0,1,-9,12,1,385,35,80,0,0,3
335,0,0,0,1,0,0,1,0,0,1,2,12,0,356,21,77,1,44,2
336,0,0,0,0,1,0,1,0,0,1,0,7,0,332,22,80,1,6,2
337,0,0,0,1,1,0,1,0,0,1,3,8,0,394,41,71,1,41,1
338,0,1,0,1,1,1,1,0,0,1,3,3,1,502,64,73,0,0,2
339,0,0,0,1,1,1,0,0,0,1,1,9,0,420,11,74,0,0,2
347,1,0,0,0,0,0,1,1,0,1,2,1,1,458,21,72,0,0,2
348,0,0,0,0,1,0,1,0,0,1,0,12,0,329,4,74,1,26,3
349,0,0,0,0,1,0,0,0,0,1,2,8,0,340,2,76,0,0,3
352,1,1,0,0,0,0,0,0,0,1,0,8,0,348,5,77,0,0,2
353,0,0,0,1,0,0,0,0,0,1,0,12,0,329,27,76,1,18,2
362,1,0,0,1,1,1,1,0,0,1,0,11,0,325,21,77,0,0,2
364,1,0,1,1,0,0,0,0,0,1,0,9,0,371,7,77,1,10,2
365,0,0,0,1,1,1,0,0,0,1,4,13,0,411,4,76,0,0,3
366,0,0,1,0,0,0,1,0,0,1,2,11,0,427,12,79,0,0,1
368,1,0,0,1,1,0,1,0,0,1,0,10,0,453,12,70,0,0,3
374,0,0,0,1,1,0,1,0,0,1,2,11,0,342,7,71,0,0,2
377,0,0,0,1,0,0,0,0,0,1,0,7,0,356,13,72,0,0,1
378,1,0,0,1,0,0,0,0,0,1,0,10,0,362,2,74,0,0,3
381,1,0,0,1,0,0,1,0,0,1,-9,9,2,418,27,70,0,0,3
383,1,0,0,1,0,0,0,0,0,1,5,10,0,432,3,74,0,0,3
384,1,0,1,1,1,1,0,1,0,1,0,9,0,330,12,74,0,0,1
386,0,0,0,1,1,1,1,0,1,1,0,11,0,328,59,74,0,0,3
390,1,0,0,1,0,1,1,1,0,1,1,12,0,371,67,71,1,2,2
394,1,0,0,1,1,0,1,0,0,1,2,10,6,338,44,81,0,0,3
395,1,0,1,1,0,0,0,0,0,1,0,12,0,427,4,81,0,0,2
397,0,1,0,0,0,0,0,0,0,0,0,2,0,441,10,72,0,0,1
398,0,0,0,0,0,0,1,0,0,1,2,10,1,367,19,80,0,0,2
400,0,0,1,1,0,0,0,0,0,1,0,12,0,427,8,74,0,0,2
404,1,1,0,1,1,0,0,0,0,1,0,9,0,441,2,70,0,0,2
407,0,0,1,0,0,0,1,0,0,1,0,5,0,373,6,81,0,0,1
414,1,0,0,1,1,1,0,1,0,1,1,9,0,432,16,76,0,0,2
417,0,0,0,1,1,0,0,0,0,1,5,8,0,449,5,70,1,20,3
420,1,0,1,1,0,1,0,0,0,1,0,7,0,353,15,71,0,0,2
434,1,0,0,0,1,1,0,0,0,1,1,8,14,343,93,74,0,0,3
438,1,0,0,1,0,0,0,0,1,1,3,11,0,364,16,76,1,20,2
440,1,0,0,1,0,1,1,0,1,1,3,9,0,400,27,71,0,0,1
445,0,0,0,1,0,0,0,0,0,0,0,12,0,363,4,77,0,0,2
446,0,0,0,0,0,0,0,0,0,0,0,11,0,386,4,72,0,0,3
447,1,0,0,1,0,0,1,0,0,1,3,8,0,395,6,77,0,0,3
449,1,0,0,0,1,1,1,1,0,0,0,12,2,335,49,70,1,39,3
452,1,0,1,1,0,1,1,1,0,1,0,7,1,429,25,77,1,63,2
454,0,0,0,1,0,0,0,0,0,1,2,8,0,414,1,76,0,0,3
459,0,0,0,1,0,0,1,0,0,1,1,6,0,376,2,75,1,67,3
460,0,0,0,1,0,1,0,0,0,1,2,8,0,342,9,71,1,60,3
461,1,0,0,1,0,1,1,1,0,1,0,11,2,471,33,70,1,13,1
462,1,0,1,1,0,0,1,1,0,1,0,10,2,321,19,73,0,0,2
471,0,0,0,1,1,1,0,1,0,1,2,10,1,329,19,74,0,0,3
475,0,0,1,1,0,1,0,1,0,1,-9,12,2,325,34,72,1,6,3
479,1,0,0,1,0,0,0,0,0,1,0,13,0,393,1,70,0,0,3
480,0,0,1,1,0,1,1,1,0,1,2,13,0,441,38,74,1,7,2
481,1,0,0,1,0,0,1,0,0,1,1,12,0,370,3,74,0,0,3
486,1,0,0,1,1,1,1,1,0,1,4,8,4,369,70,79,1,53,3
491,1,0,0,1,0,0,1,0,0,1,0,12,0,425,3,80,1,31,3
493,1,0,0,0,0,0,1,0,0,1,1,11,1,334,5,78,1,33,3
502,1,0,0,1,0,0,1,0,0,1,0,12,0,477,9,75,0,0,3
504,0,0,0,1,0,0,0,0,0,1,0,12,0,401,2,73,0,0,3
509,0,0,1,1,1,1,1,1,0,1,1,12,0,346,18,71,1,61,2
513,1,0,0,1,0,0,1,0,0,1,0,12,0,337,8,73,0,0,3
515,1,0,1,1,0,0,1,0,0,1,1,7,7,435,35,74,1,13,2
521,1,1,0,1,0,0,1,0,0,1,0,10,2,326,11,72,1,29,2
526,0,0,1,0,0,0,1,0,0,1,-9,9,1,329,13,81,0,0,3
529,1,0,0,1,0,1,1,0,1,1,0,9,0,390,16,70,0,0,3
533,1,0,1,1,0,1,1,1,0,1,-9,10,2,337,25,72,0,0,3
537,1,0,1,1,1,1,0,0,0,1,0,6,1,385,12,73,0,0,2
546,0,0,0,0,0,0,0,0,0,1,5,8,0,401,4,71,1,29,3
555,0,0,0,0,0,0,1,0,0,1,0,4,1,407,12,76,0,0,3
558,0,0,0,0,0,0,0,0,0,1,1,12,4,394,8,70,0,0,1
560,0,0,0,0,0,0,0,0,0,1,2,10,0,356,8,79,0,0,2
561,0,0,0,0,1,0,1,0,0,1,2,14,2,435,68,76,1,19,3
562,1,0,1,0,0,0,1,0,0,1,4,11,0,362,6,78,0,0,1
564,1,0,0,1,0,0,1,0,0,1,0,8,0,436,2,71,0,0,3
565,1,0,0,1,1,0,1,0,0,1,1,10,0,335,6,71,0,0,3
568,0,0,0,1,1,1,0,0,1,1,0,9,15,394,61,79,1,7,3
572,1,0,1,1,1,1,0,1,0,1,2,6,0,416,32,71,1,16,1
576,1,0,0,1,1,0,0,0,0,1,0,10,0,383,2,79,1,46,3
578,1,0,0,1,0,1,1,1,0,1,1,11,0,334,48,70,1,29,2
580,1,0,0,0,0,1,0,1,0,1,2,11,2,348,75,79,1,44,2
582,0,0,0,1,0,0,0,0,0,1,8,11,0,363,2,71,1,26,3
583,0,1,0,1,0,1,1,1,0,1,0,11,2,357,30,78,0,0,1
588,0,0,1,0,0,1,0,1,0,1,8,12,0,417,7,80,0,0,2
590,0,0,0,1,1,0,1,0,0,1,0,16,1,397,16,70,0,0,1
591,0,0,1,1,1,0,1,0,0,1,0,7,0,393,8,78,0,0,2
592,0,0,0,1,0,0,0,0,0,1,0,10,0,419,3,74,0,0,3
594,0,0,1,1,1,0,1,0,0,1,0,7,0,512,6,80,1,62,1
595,0,0,0,0,0,0,0,0,0,1,0,12,0,381,3,79,0,0,3
599,1,0,0,0,0,0,1,0,0,1,3,8,0,389,4,73,1,35,3
600,1,0,0,0,1,1,0,0,0,1,7,9,5,371,67,73,0,0,3
602,1,0,0,1,0,0,0,0,0,1,6,8,0,411,3,79,0,0,3
604,1,0,0,1,0,0,1,0,0,0,-9,8,0,387,96,70,0,0,3
608,0,0,0,0,0,0,0,0,0,1,4,12,1,398,5,81,0,0,3
611,0,0,0,1,0,1,0,1,0,1,0,11,1,348,41,74,0,0,2
623,1,0,0,1,1,0,0,0,0,1,0,0,1,357,9,74,0,0,3
626,1,1,0,1,0,0,1,0,0,1,7,8,1,459,8,77,1,2,2
629,1,0,0,0,1,0,0,0,0,1,3,12,7,491,8,72,1,59,3
632,0,1,0,1,1,0,0,0,0,1,0,12,0,368,6,74,0,0,1
633,0,0,1,0,0,0,1,0,0,1,7,9,0,350,6,80,0,0,2
636,1,0,0,1,1,0,0,0,0,1,2,10,0,438,0,74,0,0,3
637,1,1,0,1,1,0,0,0,0,1,0,4,0,457,5,75,0,0,1
639,1,0,0,1,1,0,0,0,0,1,2,11,0,423,5,80,0,0,2
647,0,0,0,1,0,0,0,0,0,0,0,11,0,343,12,76,1,43,3
649,1,0,0,1,1,1,0,1,0,1,2,7,6,370,111,72,0,0,3
650,1,0,1,1,0,1,1,1,0,1,1,10,1,321,38,74,1,12,2
653,1,1,1,1,0,0,0,0,0,1,0,12,4,348,24,74,0,0,2
659,1,0,0,0,0,1,1,1,0,1,3,12,2,424,54,70,0,0,1
662,0,0,0,1,0,0,0,0,0,1,1,12,0,434,3,72,1,33,3
663,0,0,0,1,1,0,0,0,0,1,1,10,0,391,1,81,1,73,3
665,0,0,0,0,0,0,0,0,0,1,1,12,0,333,7,76,0,0,2
670,0,0,0,1,0,0,0,0,0,1,1,10,0,379,2,80,0,0,3
671,0,0,0,1,1,0,0,0,0,1,1,12,1,336,17,77,0,0,2
676,0,0,0,1,1,1,1,1,0,1,1,12,0,332,16,80,0,0,1
682,0,0,0,1,0,1,1,1,0,1,3,11,2,322,37,75,1,49,1
685,0,0,1,1,0,0,1,0,0,0,0,12,0,335,11,70,1,22,2
686,0,0,1,1,0,1,1,1,0,1,2,10,0,315,50,78,1,5,2
687,1,0,0,1,0,1,1,0,1,1,1,6,0,462,13,78,1,3,3
691,0,0,0,1,1,1,1,0,1,1,2,5,6,474,112,75,0,0,3
693,1,0,0,1,1,0,1,0,0,1,0,12,1,357,16,80,1,37,2
699,0,0,0,0,0,0,0,0,0,1,5,10,0,416,5,76,1,2,2
700,1,0,0,1,1,0,1,0,0,1,0,12,0,384,9,70,0,0,2
706,1,0,1,1,0,0,0,0,0,1,0,9,2,399,16,76,1,62,2
707,0,0,0,1,0,1,1,0,0,1,0,14,0,332,26,79,0,0,3
710,1,0,0,1,0,0,1,1,0,0,0,9,1,325,25,71,0,0,2
713,1,0,0,0,1,1,1,1,0,1,11,9,1,506,52,80,1,72,3
724,1,0,0,0,1,0,0,0,0,1,0,8,1,332,61,76,0,0,3
726,1,0,0,0,1,0,0,0,0,1,0,12,0,393,117,71,0,0,3
727,1,0,0,1,1,1,0,1,0,1,10,14,1,383,33,74,0,0,2
734,1,0,1,1,1,1,1,0,0,1,0,11,1,369,13,78,0,0,2
735,1,0,0,1,0,1,1,1,0,1,6,8,0,361,44,75,1,13,2
737,1,0,0,1,0,0,1,0,0,1,1,5,0,398,7,76,0,0,1
740,0,0,0,1,1,0,0,0,0,1,0,7,0,396,3,72,0,0,3
746,0,0,0,1,1,0,1,0,0,1,0,12,0,458,13,70,0,0,1
753,0,0,0,1,0,1,0,1,0,0,0,4,0,390,7,74,0,0,2
755,1,0,0,1,0,1,1,1,0,1,0,8,1,385,44,78,0,0,2
756,1,0,0,1,0,0,0,0,0,1,0,14,1,354,25,80,0,0,2
758,0,1,0,1,0,0,1,0,0,1,1,7,0,426,7,72,0,0,3
762,1,0,1,0,0,0,0,0,0,1,4,9,0,469,6,81,1,11,2
764,0,0,0,0,0,0,0,0,0,1,2,0,2,431,7,77,0,0,3
768,0,0,0,1,0,1,1,1,0,1,3,12,1,412,51,77,0,0,1
770,1,0,1,1,0,1,1,1,0,1,0,9,1,362,21,74,1,11,2
774,0,0,0,0,0,0,0,0,0,0,0,11,0,426,4,72,0,0,3
776,0,0,0,1,1,1,1,1,0,1,1,7,3,358,67,71,1,59,3
779,1,0,0,1,0,0,1,0,0,1,1,8,0,331,21,72,1,19,3
782,1,0,0,1,0,1,0,1,0,1,0,6,3,322,23,76,0,0,3
808,1,0,0,1,1,0,1,0,0,1,0,8,1,357,15,71,0,0,2
809,1,0,0,1,0,0,1,0,0,1,1,2,0,408,3,81,0,0,3
814,0,0,0,1,0,1,1,1,0,1,0,12,0,453,51,78,0,0,3
817,1,0,0,1,1,1,1,1,0,1,1,7,0,377,24,71,0,0,1
820,1,0,0,1,0,0,0,0,0,1,0,14,1,348,11,72,1,35,3
821,1,0,0,0,0,0,0,0,0,1,3,0,0,445,4,74,0,0,3
823,1,1,0,0,1,0,1,0,0,1,1,10,3,444,5,73,0,0,2
826,0,0,0,0,1,0,0,0,0,1,0,8,0,474,3,77,1,44,3
830,1,0,0,1,1,0,0,0,0,1,0,12,0,357,1,75,0,0,3
833,0,0,1,0,0,0,1,0,0,1,9,10,3,362,43,76,0,0,2
834,0,0,0,0,0,0,0,0,0,1,4,9,0,349,2,81,1,28,3
846,0,0,0,1,0,0,0,0,0,0,0,11,0,338,2,78,0,0,3
847,1,0,0,1,1,0,1,0,0,1,0,7,0,471,3,77,0,0,3
853,0,0,0,0,0,0,1,0,0,1,2,8,11,329,41,80,1,6,1
854,0,0,0,0,0,0,0,0,0,1,4,7,3,332,12,70,0,0,3
859,1,0,0,1,0,1,1,1,0,1,0,9,1,319,29,74,0,0,2
863,1,0,0,1,0,1,0,0,0,1,0,7,4,349,14,75,0,0,1
864,1,0,0,1,1,0,0,0,0,1,0,9,0,354,0,78,0,0,3
867,1,0,0,1,1,0,0,0,0,1,3,0,0,467,2,71,1,7,3
873,1,0,0,1,1,0,0,0,0,1,0,8,0,346,2,80,0,0,3
875,1,0,0,1,0,0,1,0,0,1,0,12,0,357,8,71,0,0,3
880,1,0,0,1,0,0,0,0,0,0,0,10,0,340,4,80,1,41,1
884,0,0,0,1,0,0,0,0,0,1,0,10,0,378,14,76,0,0,2
889,1,0,1,0,0,0,1,0,0,1,0,8,0,338,6,70,1,23,1
892,0,0,0,1,1,1,1,1,0,1,6,12,9,434,144,72,1,41,3
894,0,1,0,1,1,0,1,0,0,1,1,8,0,364,6,75,1,7,2
902,1,0,1,1,0,1,0,1,0,1,0,12,0,381,7,80,0,0,2
904,1,0,1,0,0,0,0,0,0,1,4,7,0,501,14,79,1,60,2
907,1,0,0,1,0,0,0,0,0,1,-9,9,0,403,13,77,1,53,3
909,1,1,0,1,0,0,0,0,0,1,3,7,0,464,3,72,0,0,1
910,1,1,0,0,1,0,1,0,0,1,1,10,0,436,7,79,1,25,2
912,0,0,0,1,1,0,1,0,0,1,0,10,0,357,30,74,0,0,1
913,0,0,0,0,1,0,0,0,0,1,0,14,2,344,11,81,0,0,3
918,1,1,1,1,0,1,1,1,0,1,8,8,2,332,38,80,1,44,2
919,0,0,0,0,0,0,0,0,0,1,1,11,0,363,3,80,0,0,3
921,0,0,1,1,0,0,0,0,0,1,1,10,0,365,4,80,0,0,2
923,0,0,0,0,1,0,0,0,0,1,4,12,0,349,4,76,1,4,3
926,0,0,0,0,1,0,0,0,0,1,0,9,0,327,3,73,1,25,3
927,0,0,0,1,1,1,1,0,1,1,1,10,1,475,57,76,0,0,3
928,0,0,0,1,0,1,1,0,0,0,0,0,0,351,20,73,0,0,3
929,0,0,0,1,1,1,1,1,0,1,9,15,28,406,123,70,1,11,2
930,1,0,0,1,1,0,1,0,0,1,5,9,1,411,28,76,1,71,3
931,0,0,0,1,0,1,1,0,0,1,0,10,2,347,11,72,1,29,3
933,0,0,0,1,1,0,1,0,0,1,0,10,0,408,19,78,0,0,1
936,1,0,0,1,0,0,0,0,0,1,11,8,0,399,23,76,1,11,3
937,1,0,1,1,0,1,0,0,1,1,5,12,0,403,32,70,1,33,2
940,1,0,0,1,0,0,1,0,0,1,0,12,1,330,20,73,1,34,3
944,1,0,0,1,0,0,0,0,0,1,4,8,0,462,3,81,0,0,3
946,1,1,0,1,0,0,0,0,0,1,4,11,0,344,8,72,1,29,1
947,1,0,0,1,0,0,0,0,0,0,0,12,0,457,4,78,0,0,2
949,1,0,0,0,1,0,1,0,0,1,2,11,1,467,3,79,0,0,3
950,0,1,1,1,1,0,0,0,0,1,3,14,0,368,4,75,1,9,2
951,1,0,0,1,1,0,1,0,0,1,0,6,0,438,2,78,1,30,3
954,0,1,0,1,0,0,0,0,0,1,3,8,1,413,9,72,1,49,2
956,0,0,1,1,0,0,0,0,1,1,1,11,0,331,13,81,1,3,2
958,0,0,0,0,0,0,0,0,0,1,0,8,0,379,5,71,1,4,2
961,1,0,0,1,1,1,0,1,0,1,0,8,0,349,16,72,0,0,1
962,0,0,0,1,1,1,1,1,0,1,13,13,0,492,46,73,0,0,2
964,1,0,0,0,0,0,1,0,0,1,0,12,1,369,10,77,0,0,1
967,0,0,0,0,0,0,0,0,0,1,0,3,0,348,4,72,1,18,3
968,1,0,0,0,0,0,0,0,0,1,-9,9,0,424,7,78,1,67,3
980,1,0,0,1,1,0,1,0,0,1,3,8,1,423,3,71,0,0,3
984,0,0,0,1,1,0,0,0,0,1,0,10,0,402,1,75,0,0,2
985,1,0,0,1,1,0,0,0,0,1,0,10,5,340,52,74,0,0,3
988,1,0,0,1,0,0,0,0,0,1,1,0,0,337,3,75,1,10,3
997,1,0,0,0,0,0,0,0,0,1,4,10,3,356,16,77,1,1,3
999,1,0,0,1,1,0,0,1,0,1,2,12,0,418,47,79,0,0,3
1001,0,0,0,0,0,0,1,0,0,1,-9,11,0,389,2,81,0,0,3
1007,1,1,0,1,0,0,1,0,0,1,6,5,0,373,10,70,1,68,2
1009,0,0,0,1,0,0,1,0,0,1,1,7,3,373,27,72,0,0,1
1012,1,0,0,1,1,0,0,1,0,0,-9,8,0,455,2,72,0,0,3
1024,1,1,1,0,0,0,0,0,0,1,0,12,0,332,6,80,1,8,1
1026,0,0,0,0,0,0,1,0,0,0,1,11,2,336,13,79,0,0,2
1034,0,0,0,1,0,0,0,1,0,1,1,11,0,355,9,76,0,0,2
1041,0,0,0,0,0,0,1,0,0,1,1,14,1,341,12,72,0,0,2
1045,0,0,0,1,0,0,1,1,0,1,0,13,1,331,14,77,0,0,1
1046,0,0,0,1,1,1,1,1,0,1,4,6,3,451,73,75,0,0,3
1052,1,0,0,1,1,1,1,1,0,1,-9,6,2,385,40,78,1,33,3
1054,1,0,0,1,0,0,1,0,0,1,0,12,0,444,7,76,0,0,3
1058,1,0,0,1,0,1,0,1,0,1,1,12,0,368,12,72,0,0,3
1060,0,0,0,1,0,0,1,0,0,1,3,6,3,396,21,76,0,0,2
1061,1,0,1,0,0,0,0,0,0,1,7,12,1,342,26,73,1,30,1
1068,1,0,0,1,0,0,1,0,0,1,3,6,0,369,29,71,0,0,2
1071,0,0,0,0,1,0,0,0,0,1,1,11,7,379,87,74,1,2,3
1074,1,1,0,1,1,1,0,0,1,1,5,7,7,470,225,70,1,40,2
1080,1,1,0,1,0,0,0,0,0,1,0,12,0,340,7,72,0,0,2
1089,0,1,0,1,1,0,0,0,0,1,0,10,0,354,6,73,1,21,2
1091,0,0,0,1,0,0,1,0,0,1,4,9,0,367,8,75,1,26,3
1092,1,0,0,1,1,1,1,0,0,1,3,4,2,491,190,75,0,0,3
1095,0,0,0,0,1,0,0,0,0,1,0,8,2,331,6,74,1,12,3
1096,0,0,0,0,0,0,0,0,0,1,0,13,0,372,5,77,0,0,1
1101,0,0,0,0,0,0,0,0,0,0,0,12,0,383,6,80,0,0,3
1110,1,0,0,1,1,0,0,0,0,1,0,9,0,421,2,78,1,63,3
1118,0,0,0,1,0,0,1,0,0,1,1,12,0,328,12,78,1,22,3
1120,0,0,0,1,0,1,1,1,0,1,5,12,0,363,53,70,1,26,2
